日ID,日序,周次,阶段,Primary LQ,Secondary LQ,周次功能,核心生命问题,生命痛点,今日核心经文,P证据,L证据,J证据,NT-DIS原则,一句话主题,日类型,每日核心信息,今日反思入口,今日自我选择,今日实践,关系/伙伴反馈,使命连接,生命果子,证据等级,内容状态
W09D06,6,9,I 看见自己,LQ07,—,面对失败,失败以后我怎么办？,一次失败容易被解释成“我不行”“我完了”。,林后4：7-18,林后4：7-18,路22：54-62,约21：15-19,面对→带到基督面前→继续,失败不能决定终点，把失败带到基督面前继续走。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴只关注下一步行动，不评价过去。,我是在面对失败，还是在逃避失败带来的羞耻？,必要时主动向受影响的人道歉或修复,从失败羞耻转向恩典与成长,A,待编写
W09D07,7,9,I 看见自己,LQ07,—,面对失败,失败以后我怎么办？,一次失败容易被解释成“我不行”“我完了”。,林后12：7-10,林后4：7-18,路22：54-62,约21：15-19,面对→带到基督面前→继续,失败不能决定终点，把失败带到基督面前继续走。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴只关注下一步行动，不评价过去。,把这一周的学习带进下一周，而不是停在课程结束。,从失败羞耻转向恩典与成长,A,待编写
W10D01,1,10,I 看见自己,LQ07,LQ01,接受有限,为什么不能接受自己的有限？,总觉得自己必须强、快、全能，才配被需要。,林后4：7,林后12：9-10,路22：24-27,约15：5,看见→接受→求助,你不必成为无所不能的人，神的工作可以在你的有限中显明。,看见,先看见自己正在经历的“为什么不能接受自己的有限？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“为什么不能接受自己的有限？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从全能幻想转向受造者的真实,A,待编写
W10D02,2,10,I 看见自己,LQ07,LQ01,接受有限,为什么不能接受自己的有限？,总觉得自己必须强、快、全能，才配被需要。,林后12：9-10,林后12：9-10,路22：24-27,约15：5,看见→接受→求助,你不必成为无所不能的人，神的工作可以在你的有限中显明。,挖根,今天往里走一步：当“为什么不能接受自己的有限？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从全能幻想转向受造者的真实,A,待编写
W10D03,3,10,I 看见自己,LQ07,LQ01,接受有限,为什么不能接受自己的有限？,总觉得自己必须强、快、全能，才配被需要。,林后4：7,林后12：9-10,路22：24-27,约15：5,看见→接受→求助,你不必成为无所不能的人，神的工作可以在你的有限中显明。,回经文,回到林后4：7：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“为什么不能接受自己的有限？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用林后4：7安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从全能幻想转向受造者的真实,A,待编写
W10D04,4,10,I 看见自己,LQ07,LQ01,接受有限,为什么不能接受自己的有限？,总觉得自己必须强、快、全能，才配被需要。,路22：24-27,林后12：9-10,路22：24-27,约15：5,看见→接受→求助,你不必成为无所不能的人，神的工作可以在你的有限中显明。,对照,把自己的旧习惯与新约的方向放在一起看：神的工作可以在人的有限与软弱中显明，成熟不等于无所不能。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：你不必成为无所不能的人，神的工作可以在你的有限中显明。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,从全能幻想转向受造者的真实,A,待编写
W10D05,5,10,I 看见自己,LQ07,LQ01,接受有限,为什么不能接受自己的有限？,总觉得自己必须强、快、全能，才配被需要。,约15：5,林后12：9-10,路22：24-27,约15：5,看见→接受→求助,你不必成为无所不能的人，神的工作可以在你的有限中显明。,行动,把今天的回应缩小成一个可执行动作：本周主动说一次“我做不到，需要帮助”。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：本周主动说一次“我做不到，需要帮助”。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从全能幻想转向受造者的真实,A,待编写
W10D06,6,10,I 看见自己,LQ07,LQ01,接受有限,为什么不能接受自己的有限？,总觉得自己必须强、快、全能，才配被需要。,林后12：9-10,林后12：9-10,路22：24-27,约15：5,看见→接受→求助,你不必成为无所不能的人，神的工作可以在你的有限中显明。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴记录一次求助，而不是夸奖坚强。,我最难承认的有限是什么？为什么？,让求助与互相担当成为群体文化,从全能幻想转向受造者的真实,A,待编写
W10D07,7,10,I 看见自己,LQ07,LQ01,接受有限,为什么不能接受自己的有限？,总觉得自己必须强、快、全能，才配被需要。,林后4：7,林后12：9-10,路22：24-27,约15：5,看见→接受→求助,你不必成为无所不能的人，神的工作可以在你的有限中显明。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴记录一次求助，而不是夸奖坚强。,把这一周的学习带进下一周，而不是停在课程结束。,从全能幻想转向受造者的真实,A,待编写
W11D01,1,11,I 看见自己,LQ03,—,重新安排生命,什么值得我花时间？,时间被工作、手机、信息和别人需求不断切碎。,弗5：15-17,腓3：13-14,路5：15-16,约15：4-5,看见→选择→安排,不要只是把时间填满，先分辨什么值得。,看见,先看见自己正在经历的“什么值得我花时间？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“什么值得我花时间？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从被时间推着走转向主动忠心,A,待编写
W11D02,2,11,I 看见自己,LQ03,—,重新安排生命,什么值得我花时间？,时间被工作、手机、信息和别人需求不断切碎。,腓3：13-14,腓3：13-14,路5：15-16,约15：4-5,看见→选择→安排,不要只是把时间填满，先分辨什么值得。,挖根,今天往里走一步：当“什么值得我花时间？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从被时间推着走转向主动忠心,A,待编写
W11D03,3,11,I 看见自己,LQ03,—,重新安排生命,什么值得我花时间？,时间被工作、手机、信息和别人需求不断切碎。,弗5：15-17,腓3：13-14,路5：15-16,约15：4-5,看见→选择→安排,不要只是把时间填满，先分辨什么值得。,回经文,回到弗5：15-17：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“什么值得我花时间？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用弗5：15-17安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从被时间推着走转向主动忠心,A,待编写
W11D04,4,11,I 看见自己,LQ03,—,重新安排生命,什么值得我花时间？,时间被工作、手机、信息和别人需求不断切碎。,路5：15-16,腓3：13-14,路5：15-16,约15：4-5,看见→选择→安排,不要只是把时间填满，先分辨什么值得。,对照,把自己的旧习惯与新约的方向放在一起看：时间管理的深层不是效率，而是生命方向与优先次序。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：不要只是把时间填满，先分辨什么值得。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,从被时间推着走转向主动忠心,A,待编写
W11D05,5,11,I 看见自己,LQ03,—,重新安排生命,什么值得我花时间？,时间被工作、手机、信息和别人需求不断切碎。,约15：4-5,腓3：13-14,路5：15-16,约15：4-5,看见→选择→安排,不要只是把时间填满，先分辨什么值得。,行动,把今天的回应缩小成一个可执行动作：本周固定一个“优先时段”，不被次要事项占用。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：本周固定一个“优先时段”，不被次要事项占用。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从被时间推着走转向主动忠心,A,待编写
W11D06,6,11,I 看见自己,LQ03,—,重新安排生命,什么值得我花时间？,时间被工作、手机、信息和别人需求不断切碎。,腓3：13-14,腓3：13-14,路5：15-16,约15：4-5,看见→选择→安排,不要只是把时间填满，先分辨什么值得。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴看日程中的一个改变。,我的日程最诚实地告诉我，我认为什么重要？,让优先次序具体进入家庭、工作、教会,从被时间推着走转向主动忠心,A,待编写
W11D07,7,11,I 看见自己,LQ03,—,重新安排生命,什么值得我花时间？,时间被工作、手机、信息和别人需求不断切碎。,弗5：15-17,腓3：13-14,路5：15-16,约15：4-5,看见→选择→安排,不要只是把时间填满，先分辨什么值得。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴看日程中的一个改变。,把这一周的学习带进下一周，而不是停在课程结束。,从被时间推着走转向主动忠心,A,待编写
W12D01,1,12,I 看见自己,LQ04,—,学习等候,我怎样学习等候？,看不到结果时容易焦虑、加速、放弃或自行操控。,罗8：24-25,罗5：3-5,路2：25-38,约14：27,等候→坚持→盼望,还没有看见结果，也可以在盼望中继续等候。,看见,先看见自己正在经历的“我怎样学习等候？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“我怎样学习等候？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从急于控制转向盼望中的忍耐,A,待编写
W12D02,2,12,I 看见自己,LQ04,—,学习等候,我怎样学习等候？,看不到结果时容易焦虑、加速、放弃或自行操控。,罗5：3-5,罗5：3-5,路2：25-38,约14：27,等候→坚持→盼望,还没有看见结果，也可以在盼望中继续等候。,挖根,今天往里走一步：当“我怎样学习等候？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从急于控制转向盼望中的忍耐,A,待编写
W12D03,3,12,I 看见自己,LQ04,—,学习等候,我怎样学习等候？,看不到结果时容易焦虑、加速、放弃或自行操控。,罗8：24-25,罗5：3-5,路2：25-38,约14：27,等候→坚持→盼望,还没有看见结果，也可以在盼望中继续等候。,回经文,回到罗8：24-25：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“我怎样学习等候？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用罗8：24-25安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从急于控制转向盼望中的忍耐,A,待编写
W12D04,4,12,I 看见自己,LQ04,—,学习等候,我怎样学习等候？,看不到结果时容易焦虑、加速、放弃或自行操控。,路2：25-38,罗5：3-5,路2：25-38,约14：27,等候→坚持→盼望,还没有看见结果，也可以在盼望中继续等候。,对照,把自己的旧习惯与新约的方向放在一起看：等候不是停滞，而是在尚未看见结果时继续信靠并忠心。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：还没有看见结果，也可以在盼望中继续等候。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,从急于控制转向盼望中的忍耐,A,待编写
W12D05,5,12,I 看见自己,LQ04,—,学习等候,我怎样学习等候？,看不到结果时容易焦虑、加速、放弃或自行操控。,约14：27,罗5：3-5,路2：25-38,约14：27,等候→坚持→盼望,还没有看见结果，也可以在盼望中继续等候。,行动,把今天的回应缩小成一个可执行动作：本周不因焦虑而提前做一个本可等候的决定。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：本周不因焦虑而提前做一个本可等候的决定。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从急于控制转向盼望中的忍耐,A,待编写
W12D06,6,12,I 看见自己,LQ04,—,学习等候,我怎样学习等候？,看不到结果时容易焦虑、加速、放弃或自行操控。,罗5：3-5,罗5：3-5,路2：25-38,约14：27,等候→坚持→盼望,还没有看见结果，也可以在盼望中继续等候。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴只问：“你怎样等候？”,我为什么这么急？我害怕什么不会发生？,在别人等候时提供陪伴而非催促,从急于控制转向盼望中的忍耐,A,待编写
W12D07,7,12,I 看见自己,LQ04,—,学习等候,我怎样学习等候？,看不到结果时容易焦虑、加速、放弃或自行操控。,罗8：24-25,罗5：3-5,路2：25-38,约14：27,等候→坚持→盼望,还没有看见结果，也可以在盼望中继续等候。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴只问：“你怎样等候？”,把这一周的学习带进下一周，而不是停在课程结束。,从急于控制转向盼望中的忍耐,A,待编写
W13D01,1,13,I 看见自己,LQ01,LQ04,阶段省察,我真正看见了自己什么？,经过前12周，需要把重复出现的生命模式看清楚。,林后13：5,罗12：3,路6：39-42,约15：1-5,回顾→命名→重新定位,停下来看看：什么正在塑造我？,看见,先看见自己正在经历的“我真正看见了自己什么？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“我真正看见了自己什么？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从无意识模式走向属灵省察,A,待编写
W13D02,2,13,I 看见自己,LQ01,LQ04,阶段省察,我真正看见了自己什么？,经过前12周，需要把重复出现的生命模式看清楚。,罗12：3,罗12：3,路6：39-42,约15：1-5,回顾→命名→重新定位,停下来看看：什么正在塑造我？,挖根,今天往里走一步：当“我真正看见了自己什么？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从无意识模式走向属灵省察,A,待编写
W13D03,3,13,I 看见自己,LQ01,LQ04,阶段省察,我真正看见了自己什么？,经过前12周，需要把重复出现的生命模式看清楚。,林后13：5,罗12：3,路6：39-42,约15：1-5,回顾→命名→重新定位,停下来看看：什么正在塑造我？,回经文,回到林后13：5：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“我真正看见了自己什么？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用林后13：5安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从无意识模式走向属灵省察,A,待编写
W13D04,4,13,I 看见自己,LQ01,LQ04,阶段省察,我真正看见了自己什么？,经过前12周，需要把重复出现的生命模式看清楚。,路6：39-42,罗12：3,路6：39-42,约15：1-5,回顾→命名→重新定位,停下来看看：什么正在塑造我？,对照,把自己的旧习惯与新约的方向放在一起看：生命改变往往从看见自己正在重复什么开始。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：停下来看看：什么正在塑造我？。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,从无意识模式走向属灵省察,A,待编写
W13D05,5,13,I 看见自己,LQ01,LQ04,阶段省察,我真正看见了自己什么？,经过前12周，需要把重复出现的生命模式看清楚。,约15：1-5,罗12：3,路6：39-42,约15：1-5,回顾→命名→重新定位,停下来看看：什么正在塑造我？,行动,把今天的回应缩小成一个可执行动作：只改一个模式，不同时解决所有问题。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：只改一个模式，不同时解决所有问题。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从无意识模式走向属灵省察,A,待编写
W13D06,6,13,I 看见自己,LQ01,LQ04,阶段省察,我真正看见了自己什么？,经过前12周，需要把重复出现的生命模式看清楚。,罗12：3,罗12：3,路6：39-42,约15：1-5,回顾→命名→重新定位,停下来看看：什么正在塑造我？,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴陪伴一个模式的后续30天。,这12周我最常重复哪一种反应？,把个人发现转为后续行动,从无意识模式走向属灵省察,A,待编写
W13D07,7,13,I 看见自己,LQ01,LQ04,阶段省察,我真正看见了自己什么？,经过前12周，需要把重复出现的生命模式看清楚。,林后13：5,罗12：3,路6：39-42,约15：1-5,回顾→命名→重新定位,停下来看看：什么正在塑造我？,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴陪伴一个模式的后续30天。,把这一周的学习带进下一周，而不是停在课程结束。,从无意识模式走向属灵省察,A,待编写
W14D01,1,14,II 重新连接,LQ05,—,进入神的家,我属于哪里？,即使有很多社交关系，仍可能不知道自己真正属于谁。,弗2：19-22,罗12：4-5,路14：15-24,约10,进入→连接→参与,福音不仅给我个人答案，也把我带进神的家。,看见,先看见自己正在经历的“我属于哪里？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“我属于哪里？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从孤立个人进入神的家,A,待编写
W14D02,2,14,II 重新连接,LQ05,—,进入神的家,我属于哪里？,即使有很多社交关系，仍可能不知道自己真正属于谁。,罗12：4-5,罗12：4-5,路14：15-24,约10,进入→连接→参与,福音不仅给我个人答案，也把我带进神的家。,挖根,今天往里走一步：当“我属于哪里？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从孤立个人进入神的家,A,待编写
W14D03,3,14,II 重新连接,LQ05,—,进入神的家,我属于哪里？,即使有很多社交关系，仍可能不知道自己真正属于谁。,弗2：19-22,罗12：4-5,路14：15-24,约10,进入→连接→参与,福音不仅给我个人答案，也把我带进神的家。,回经文,回到弗2：19-22：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“我属于哪里？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用弗2：19-22安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从孤立个人进入神的家,A,待编写
W14D04,4,14,II 重新连接,LQ05,—,进入神的家,我属于哪里？,即使有很多社交关系，仍可能不知道自己真正属于谁。,路14：15-24,罗12：4-5,路14：15-24,约10,进入→连接→参与,福音不仅给我个人答案，也把我带进神的家。,对照,把自己的旧习惯与新约的方向放在一起看：福音不仅使人与神和好，也把人带进一个新的家和共同体。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：福音不仅给我个人答案，也把我带进神的家。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,从孤立个人进入神的家,A,待编写
W14D05,5,14,II 重新连接,LQ05,—,进入神的家,我属于哪里？,即使有很多社交关系，仍可能不知道自己真正属于谁。,约10,罗12：4-5,路14：15-24,约10,进入→连接→参与,福音不仅给我个人答案，也把我带进神的家。,行动,把今天的回应缩小成一个可执行动作：参加一次不只是听讲、而是共同生活的群体活动。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：参加一次不只是听讲、而是共同生活的群体活动。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从孤立个人进入神的家,A,待编写
W14D06,6,14,II 重新连接,LQ05,—,进入神的家,我属于哪里？,即使有很多社交关系，仍可能不知道自己真正属于谁。,罗12：4-5,罗12：4-5,路14：15-24,约10,进入→连接→参与,福音不仅给我个人答案，也把我带进神的家。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴约一次面对面或线上深谈。,我现在有哪些关系是真正可以一起生活的？,主动欢迎边缘者,从孤立个人进入神的家,A,待编写
W14D07,7,14,II 重新连接,LQ05,—,进入神的家,我属于哪里？,即使有很多社交关系，仍可能不知道自己真正属于谁。,弗2：19-22,罗12：4-5,路14：15-24,约10,进入→连接→参与,福音不仅给我个人答案，也把我带进神的家。,回顾,回顾这一周：我有没有从这个生命问题走出一点新的方向？下一步只保留一个继续操练的重点。,这周什么真的改变了一点？什么仍需要继续？,这一周我更像：①没有变化 ②有一个小变化 ③准备继续,写下“一个改变、一个未完成、一个下一步”。,伙伴约一次面对面或线上深谈。,把这一周的学习带进下一周，而不是停在课程结束。,从孤立个人进入神的家,A,待编写
W15D01,1,15,II 重新连接,LQ04,LQ05,在看不见中相信,我怎样面对看不见的神？,希望先看清结果、理由和证据，再决定是否继续。,约14：1-6,罗8：24-28,路9：18-27,约14：1-6,疑问→信靠→跟随,看不清结果，也可以继续跟随。,看见,先看见自己正在经历的“我怎样面对看不见的神？”，不用急着改变，先辨认它在生活中什么时候出现。,今天什么时候最容易出现这个问题：“我怎样面对看不见的神？”？,我今天更像：①没有留意 ②已经看见 ③正在面对,记录一次真实场景，只写“发生了什么”，不急着评价自己。,可以只分享一个真实场景，不解释、不辩护。,先让福音进入自己的真实生活。,从要求确定转向信靠,A,待编写
W15D02,2,15,II 重新连接,LQ04,LQ05,在看不见中相信,我怎样面对看不见的神？,希望先看清结果、理由和证据，再决定是否继续。,罗8：24-28,罗8：24-28,路9：18-27,约14：1-6,疑问→信靠→跟随,看不清结果，也可以继续跟随。,挖根,今天往里走一步：当“我怎样面对看不见的神？”出现时，我最怕失去、最想抓住或最想证明的是什么？,如果暂时不急着解决，我真正担心的是什么？,我目前更像：①被反应推着走 ②开始辨认根源 ③愿意停下来,为今天发现的根源写下一句话：我真正害怕/抓住/证明的是______。,伙伴只问“你发现了什么？”，不急着给答案。,把自己的发现带进一个具体关系。,从要求确定转向信靠,A,待编写
W15D03,3,15,II 重新连接,LQ04,LQ05,在看不见中相信,我怎样面对看不见的神？,希望先看清结果、理由和证据，再决定是否继续。,约14：1-6,罗8：24-28,路9：18-27,约14：1-6,疑问→信靠→跟随,看不清结果，也可以继续跟随。,回经文,回到约14：1-6：不要只问“这段经文说了什么”，也问“它正在重新怎样解释我的生活？”,这段经文有没有一句话，正在挑战我对“我怎样面对看不见的神？”的原有理解？,经文今天对我更像：①有距离 ②击中一点 ③需要回应,用约14：1-6安静5分钟，记下一句最需要带进生活的话。,小组分享一句经文如何进入自己的生活。,让经文从理解变成生活选择。,从要求确定转向信靠,A,待编写
W15D04,4,15,II 重新连接,LQ04,LQ05,在看不见中相信,我怎样面对看不见的神？,希望先看清结果、理由和证据，再决定是否继续。,路9：18-27,罗8：24-28,路9：18-27,约14：1-6,疑问→信靠→跟随,看不清结果，也可以继续跟随。,对照,把自己的旧习惯与新约的方向放在一起看：信靠不是看清结果才前进，而是在不完全明白时仍把自己交给基督。,我现在的做法，与今天看见的福音方向差在哪里？,我目前更像：①仍按旧标准生活 ②开始调整 ③已经在实践,做一个小调整，方向是：看不清结果，也可以继续跟随。,伙伴帮助辨认差距，不评判属灵程度。,让生命方向影响家庭、工作或群体。,从要求确定转向信靠,A,待编写
W15D05,5,15,II 重新连接,LQ04,LQ05,在看不见中相信,我怎样面对看不见的神？,希望先看清结果、理由和证据，再决定是否继续。,约14：1-6,罗8：24-28,路9：18-27,约14：1-6,疑问→信靠→跟随,看不清结果，也可以继续跟随。,行动,把今天的回应缩小成一个可执行动作：本周继续忠心做一件还看不到结果的责任。,今天我能做哪一个小而真实的改变？,今天的行动更像：①还没做 ②做了一点 ③认真完成了,今天完成一个“小步行动”：本周继续忠心做一件还看不到结果的责任。,伙伴只追踪一个具体行动有没有发生。,一个小行动，就是生命果子的起点。,从要求确定转向信靠,A,待编写
W15D06,6,15,II 重新连接,LQ04,LQ05,在看不见中相信,我怎样面对看不见的神？,希望先看清结果、理由和证据，再决定是否继续。,罗8：24-28,罗8：24-28,路9：18-27,约14：1-6,疑问→信靠→跟随,看不清结果，也可以继续跟随。,关系与传递,把生命放进关系里：今天谁会因为我的选择而受益、受伤或得到安慰？,我的选择会怎样影响身边一个具体的人？,在关系里我更像：①只顾自己 ②开始留意别人 ③主动做了一件事,把今天的行动带进一个真实关系；伙伴允许问题存在，同时问“你今天如何跟随？”,我真正缺的是答案，还是安全感？,成为别人的稳定陪伴者,从要求确定转向信靠,A,待编写
